,first_name,last_name,party
176,Bartosz,Kownacki,PiS
177,Ewa,Kozanecka,PiS
178,Krzysztof Janusz,Kozik,PiS
179,Iwona Maria,Kozłowska,KO
180,Jarosław,Krajewski,PiS
181,Stefan,Krajewski,KP
182,Wiesław,Krajewski,PiS
183,Leonard,Krasulski,PiS
184,Michał,Krawczyk,KO
185,Katarzyna,Kretkowska,Lewica
186,Robert,Kropiwnicki,KO
187,Piotr,Król,PiS
188,Wojciech,Król,KO
189,Anna,Krupka,PiS
190,Paweł,Krutul,Lewica
191,Andrzej,Kryj,PiS
192,Marek,Krząkała,KO
193,Henryka,Krzywonos-Strycharska,KO
194,Marta,Kubiak,PiS
195,Krzysztof,Kubów,PiS
196,Anita,Kucharska-Dziedzic,Lewica
197,Marek,Kuchciński,PiS
198,Paweł,Kukiz,Kukiz15
199,Marcin,Kulasek,Lewica
200,Jakub,Kulesza,Konfederacja
201,Maria,Kurowska,PiS
202,Władysław,Kurowski,PiS
203,Dariusz,Kurzawa,KP
204,Jacek,Kurzępa,PiS
205,Robert,Kwiatkowski,PPS
206,Anna,Kwiecień,PiS
207,Marek,Kwitek,PiS
208,Maciej,Lasek,KO
209,Tomasz,Latos,PiS
210,Gabriela,Lenartowicz,KO
211,Tomasz,Lenz,KO
212,Izabela,Leszczyna,KO
213,Joanna,Lichocka,PiS
214,Krzysztof,Lipiec,PiS
215,Paweł,Lisiecki,PiS
216,Grzegorz,Lorek,PiS
217,Radosław,Lubczyk,KP
218,Katarzyna,Lubnauer,KO
219,Tomasz,Ławniczak,PiS
220,Artur,Łącki,KO
221,Jan,Łopata,KP
222,Magdalena,Łośko,KO
223,Marzena,Machałek,PiS
224,Beata,Maciejewska,Lewica
225,Antoni,Macierewicz,PiS
226,Wojciech,Maksymowicz,Polska2050
227,Marlena Magdalena,Maląg,PiS
228,Ewa,Malik,PiS
229,Mirosław,Maliszewski,KP
230,Jerzy,Małecki,PiS
231,Maciej,Małecki,PiS
232,Arkadiusz,Marchewka,KO
233,Jagna,Marczułajtis-Walczak,KO
234,Gabriela,Masłowska,PiS
235,Jerzy,Materna,PiS
236,Beata,Mateusiak-Pielucha,PiS
237,Grzegorz,Matusiak,PiS
238,Marek,Matuszewski,PiS
239,Kazimierz,Matuszny,PiS
240,Paulina,Matysiak,Lewica
241,Łukasz,Mejza,niez.
242,Iwona,Michałek,Porozumienie
243,Krzysztof,Mieszkowski,KO
244,Anna,Milczanowska,PiS
245,Daniel,Milewski,PiS
246,Rajmund,Miller,KO
247,Aleksander,Miszalski,KO
248,Mateusz,Morawiecki,PiS
249,Jan,Mosiński,PiS
250,Kazimierz,Moskal,PiS
251,Czesław,Mroczek,KO
252,Aleksander,Mrówczyński,PiS
253,Izabela Katarzyna,Mrzygłocka,KO
254,Joanna,Mucha,Polska2050
255,Arkadiusz,Mularczyk,PiS
256,Piotr,Müller,PiS
257,Wojciech,Murdzek,PiS
258,Arkadiusz,Myrcha,KO
259,Grzegorz,Napieralski,KO
260,Sławomir,Neumann,KO
261,Dorota,Niedziela,KO
262,Małgorzata,Niemczyk,KO
263,Sławomir,Nitras,KO
264,Barbara,Nowacka,KO
265,Tomasz Piotr,Nowak,KO
266,Danuta,Nowicka,PiS
267,Wanda,Nowicka,Lewica
268,Urszula,Nowogórska,KP
269,Mirosława,Nykiel,KO
270,Robert,Obaz,Lewica
271,Marcin,Ociepa,PiS
272,Marzena,Okła-Drewnowicz,KO
273,Waldemar,Olejniczak,PiS
274,Tomasz,Olichwer,KO
275,Dariusz,Olszewski,PiS
276,Paweł,Olszewski,KO
277,Adam,Ołdakowski,PiS
278,Katarzyna,Osos,KO
279,Jacek,Osuch,PiS
280,Jacek,Ozdoba,PiS
281,Anna,Paluch,PiS
282,Teresa,Pamuła,PiS
283,Paweł,Papke,KO
284,Urszula,Pasławska,KP
285,Krzysztof,Paszyk,KP
286,Jerzy,Paul,PiS
287,Karolina,Pawliczak,Lewica
288,Monika,Pawłowska,PiS
289,Małgorzata,Pępek,KO
290,Krzysztof,Piątkowski,KO
291,Bolesław,Piecha,PiS
292,Sławomir Jan,Piechota,KO
293,Grzegorz,Piechowiak,PiS
294,Anna,Pieczarka,PiS
295,Katarzyna Maria,Piekarska,KO
296,Dariusz,Piontkowski,PiS
297,Kazimierz,Plocke,KO
298,Kacper,Płażyński,PiS
299,Elżbieta,Płonka,PiS
300,Szymon,Pogoda,PiS
301,Jerzy,Polaczek,PiS
302,Marek,Polak,PiS
303,Piotr,Polak,PiS
304,Agnieszka,Pomaska,KO
305,Paweł,Poncyljusz,KO
306,Violetta,Porowska,PiS
307,Marcin,Porzucek,PiS
308,Małgorzata,Prokop-Paczkowska,Lewica
309,Jacek,Protas,KO
310,Jacek,Protasiewicz,KP
311,Grzegorz,Puda,PiS
312,Ireneusz,Raś,KP
313,Zbigniew,Rau,PiS
314,Monika,Rosa,KO
315,Dariusz,Rosati,KO
316,Andrzej,Rozenek,PPS
317,Urszula,Rusecka,PiS
318,Grzegorz,Rusiecki,KO
319,Marek,Rutka,Lewica
320,Jakub,Rutnicki,KO
321,Paweł,Rychlik,PiS
322,Marek,Rząsa,KO
323,Jarosław,Rzepa,KP
324,Tomasz,Rzymkowski,PiS
325,Jarosław,Sachajko,Kukiz15
326,Piotr,Sak,PiS
327,Wojciech,Saługa,KO
328,Jacek,Sasin,PiS
329,Marek,Sawicki,KP
330,Grzegorz,Schetyna,KO
331,Joanna,Scheuring-Wielgus,Lewica
332,Anna,Schmidt,PiS
333,Łukasz,Schreiber,PiS
334,Małgorzata,Sekuła-Szmajdzińska,Lewica
335,Jarosław,Sellin,PiS
336,Joanna,Senyszyn,PPS
337,Edward,Siarka,PiS
338,Anna Maria,Siarkowska,PiS
339,Krystyna,Sibińska,KO
340,Czesław,Siekierski,KP
341,Tomasz,Siemoniak,KO
342,Bartłomiej,Sienkiewicz,KO
343,Zdzisław,Sipiera,PiS
344,Krystyna,Skowrońska,KO
345,Sławomir,Skwarek,PiS
346,Waldemar,Sługocki,KO
347,Kazimierz,Smoliński,PiS
348,Krzysztof,Sobolewski,PiS
349,Artur,Soboń,PiS
350,Agnieszka,Soin,PiS
351,Bogusław,Sonik,KO
352,Andrzej,Sośnierz,PS
353,Dobromir,Sośnierz,Konfederacja
354,Marek,Sowa,KO
355,Anita,Sowińska,Lewica
356,Katarzyna,Sójka,PiS
357,Magdalena,Sroka,Porozumienie
358,Mirosława,Stachowiak-Różecka,PiS
359,Dariusz,Stefaniuk,PiS
360,Franciszek,Sterczewski,KO
361,Beata,Strzałka,PiS
362,Mirosław,Suchoń,Polska2050
363,Marek,Suski,PiS
364,Artur,Szałabawka,PiS
365,Wojciech,Szarama,PiS
366,Wiesław,Szczepański,Lewica
367,Michał,Szczerba,KO
368,Aleksandra,Szczudło,PiS
369,Józefa,Szczurek-Żelazko,PiS
